date,new,active,inactive
2010-09-06,1,0,0
2010-09-07,2,0,0
2010-09-08,2,0,0
2010-09-09,3,0,0
2010-09-10,4,0,0
2010-09-11,5,0,0
2010-09-12,5,0,0
2010-09-13,6,0,0
2010-09-14,6,0,0
2010-09-15,7,0,0
2010-09-16,7,0,0
2010-09-17,7,0,0
2010-09-18,7,0,0
2010-09-19,7,0,0
2010-09-20,7,0,0
2010-09-21,7,0,0
2010-09-22,8,0,0
2010-09-23,8,0,0
2010-09-24,8,0,0
2010-09-25,9,0,0
2010-09-26,9,0,0
2010-09-27,9,0,0
2010-09-28,9,0,0
2010-09-29,9,0,0
2010-09-30,9,0,0
2010-10-01,9,0,0
2010-10-02,9,0,0
2010-10-03,10,0,0
2010-10-04,10,0,0
2010-10-05,9,1,0
2010-10-06,8,2,0
2010-10-07,8,2,0
2010-10-08,8,2,0
2010-10-09,8,2,0
2010-10-10,8,2,0
2010-10-11,8,2,0
2010-10-12,9,2,0
2010-10-13,10,2,0
2010-10-14,10,2,0
2010-10-15,11,3,0
2010-10-16,11,3,0
2010-10-17,11,3,0
2010-10-18,11,3,0
2010-10-19,12,3,0
2010-10-20,12,3,0
2010-10-21,13,3,0
2010-10-22,13,3,0
2010-10-23,13,3,0
2010-10-24,13,3,0
2010-10-25,13,3,0
2010-10-26,14,3,0
2010-10-27,14,3,0
2010-10-28,14,3,0
2010-10-29,14,3,0
2010-10-30,14,3,0
2010-10-31,14,3,0
2010-11-01,14,3,0
2010-11-02,14,3,0
2010-11-03,15,3,0
2010-11-04,15,3,0
2010-11-05,15,3,0
2010-11-06,15,3,0
2010-11-07,15,3,0
2010-11-08,15,3,0
2010-11-09,15,3,0
2010-11-10,16,3,0
2010-11-11,16,3,0
2010-11-12,16,3,0
2010-11-13,16,3,0
2010-11-14,16,3,0
2010-11-15,16,3,0
2010-11-16,16,3,0
2010-11-17,16,3,0
2010-11-18,18,3,0
2010-11-19,18,3,0
2010-11-20,18,3,0
2010-11-21,18,3,0
2010-11-22,18,3,0
2010-11-23,18,3,0
2010-11-24,19,3,0
2010-11-25,20,3,0
2010-11-26,20,3,0
2010-11-27,21,3,0
2010-11-28,21,3,0
2010-11-29,22,3,0
2010-11-30,25,3,0
2010-12-01,25,3,0
2010-12-02,25,3,0
2010-12-03,25,3,0
2010-12-04,25,3,0
2010-12-05,24,3,1
2010-12-06,23,3,2
2010-12-07,23,3,2
2010-12-08,22,3,3
2010-12-09,21,3,4
2010-12-10,20,3,5
2010-12-11,20,3,5
2010-12-12,21,3,6
2010-12-13,22,3,6
2010-12-14,22,3,6
2010-12-15,22,4,6
2010-12-16,22,4,6
2010-12-17,22,4,6
2010-12-18,22,4,6
2010-12-19,22,4,6
2010-12-20,22,4,6
2010-12-21,21,4,7
2010-12-22,20,5,7
2010-12-23,20,5,7
2010-12-24,19,5,8
2010-12-25,19,5,8
2010-12-26,19,5,8
2010-12-27,20,5,8
2010-12-28,20,5,8
2010-12-29,20,5,8
2010-12-30,20,5,8
2010-12-31,20,5,8
2011-01-01,20,5,8
2011-01-02,20,5,8
2011-01-03,21,5,8
2011-01-04,22,4,9
2011-01-05,22,4,9
2011-01-06,22,4,9
2011-01-07,22,4,9
2011-01-08,23,4,9
2011-01-09,23,4,9
2011-01-10,22,4,10
2011-01-11,21,4,11
2011-01-12,21,4,11
2011-01-13,20,4,12
2011-01-14,20,4,12
2011-01-15,20,4,12
2011-01-16,20,4,12
2011-01-17,19,4,13
2011-01-18,19,4,13
2011-01-19,18,4,14
2011-01-20,20,4,14
2011-01-21,20,4,14
2011-01-22,20,4,14
2011-01-23,20,4,14
2011-01-24,20,4,15
2011-01-25,21,4,15
2011-01-26,21,4,15
2011-01-27,21,4,15
2011-01-28,21,4,15
2011-01-29,22,4,15
2011-01-30,22,4,15
2011-01-31,22,4,15
2011-02-01,21,4,16
2011-02-02,21,4,16
2011-02-03,21,4,16
2011-02-04,21,4,16
2011-02-05,21,4,16
2011-02-06,21,4,16
2011-02-07,21,4,16
2011-02-08,21,4,16
2011-02-09,21,4,16
2011-02-10,22,4,16
2011-02-11,22,4,16
2011-02-12,22,4,16
2011-02-13,22,4,16
2011-02-14,22,4,16
2011-02-15,22,4,16
2011-02-16,20,3,19
2011-02-17,20,3,19
2011-02-18,21,3,19
2011-02-19,22,3,19
2011-02-20,22,3,19
2011-02-21,23,3,19
2011-02-22,22,3,20
2011-02-23,22,3,21
2011-02-24,22,3,21
2011-02-25,21,3,22
2011-02-26,21,3,22
2011-02-27,20,3,23
2011-02-28,17,3,26
2011-03-01,17,3,26
2011-03-02,17,3,26
2011-03-03,18,3,26
2011-03-04,18,3,26
2011-03-05,18,3,26
2011-03-06,18,3,26
2011-03-07,18,2,27
2011-03-08,19,2,27
2011-03-09,19,2,27
2011-03-10,19,2,27
2011-03-11,22,2,27
2011-03-12,20,2,29
2011-03-13,19,2,30
2011-03-14,19,3,29
2011-03-15,19,2,30
2011-03-16,19,2,30
2011-03-17,20,2,30
2011-03-18,20,2,30
2011-03-19,21,2,30
2011-03-20,21,2,30
2011-03-21,22,2,30
2011-03-22,23,2,30
2011-03-23,25,3,30
2011-03-24,25,4,30
2011-03-25,25,4,30
2011-03-26,25,4,30
2011-03-27,24,4,31
2011-03-28,24,4,31
2011-03-29,24,4,31
2011-03-30,25,4,31
2011-03-31,25,4,31
2011-04-01,25,4,31
2011-04-02,25,4,31
2011-04-03,24,4,32
2011-04-04,23,4,33
2011-04-05,24,4,33
2011-04-06,24,4,33
2011-04-07,26,4,33
2011-04-08,26,4,34
2011-04-09,26,4,34
2011-04-10,26,4,34
2011-04-11,27,4,34
2011-04-12,28,4,34
2011-04-13,28,4,34
2011-04-14,28,4,34
2011-04-15,28,4,34
2011-04-16,28,4,34
2011-04-17,28,4,34
2011-04-18,28,4,34
2011-04-19,29,4,34
2011-04-20,27,4,36
2011-04-21,27,4,36
2011-04-22,27,4,36
2011-04-23,27,4,36
2011-04-24,26,4,37
2011-04-25,25,4,38
2011-04-26,25,5,38
2011-04-27,25,5,38
2011-04-28,25,5,38
2011-04-29,24,5,39
2011-04-30,24,5,39
2011-05-01,25,5,39
2011-05-02,25,5,39
2011-05-03,27,5,39
2011-05-04,28,5,39
2011-05-05,28,5,39
2011-05-06,28,6,39
2011-05-07,28,6,39
2011-05-08,28,6,39
2011-05-09,28,6,39
2011-05-10,28,6,39
2011-05-11,29,6,40
2011-05-12,30,6,40
2011-05-13,32,6,40
2011-05-14,32,6,40
2011-05-15,32,6,40
2011-05-16,32,6,40
2011-05-17,32,6,40
2011-05-18,33,6,40
2011-05-19,32,7,41
2011-05-20,31,7,42
2011-05-21,31,7,42
2011-05-22,30,7,43
2011-05-23,31,7,43
2011-05-24,30,7,44
2011-05-25,31,7,44
2011-05-26,31,7,44
2011-05-27,31,7,44
2011-05-28,31,7,44
2011-05-29,31,7,44
2011-05-30,32,7,44
2011-05-31,32,7,44
2011-06-01,31,7,45
2011-06-02,31,7,45
2011-06-03,31,7,45
2011-06-04,31,8,45
2011-06-05,31,8,45
2011-06-06,31,8,45
2011-06-07,31,8,45
2011-06-08,31,8,45
2011-06-09,28,8,48
2011-06-10,28,8,48
2011-06-11,28,8,48
2011-06-12,28,7,49
2011-06-13,28,7,49
2011-06-14,28,7,49
2011-06-15,29,7,50
2011-06-16,29,7,50
2011-06-17,28,7,51
2011-06-18,28,7,51
2011-06-19,29,7,52
2011-06-20,27,8,53
2011-06-21,25,7,56
2011-06-22,24,7,57
2011-06-23,25,7,57
2011-06-24,25,7,57
2011-06-25,25,7,57
2011-06-26,25,7,57
2011-06-27,25,7,57
2011-06-28,24,7,59
2011-06-29,25,7,59
2011-06-30,25,7,59
2011-07-01,25,7,59
2011-07-02,25,7,59
2011-07-03,25,7,59
2011-07-04,25,7,59
2011-07-05,25,7,59
2011-07-06,23,7,61
2011-07-07,23,7,62
2011-07-08,23,7,62
2011-07-09,23,7,62
2011-07-10,23,7,62
2011-07-11,22,7,63
2011-07-12,22,7,63
2011-07-13,22,7,63
2011-07-14,22,7,63
2011-07-15,22,7,63
2011-07-16,22,7,63
2011-07-17,22,7,63
2011-07-18,22,7,63
2011-07-19,23,7,63
2011-07-20,24,7,63
2011-07-21,24,7,63
2011-07-22,24,7,63
2011-07-23,24,7,63
2011-07-24,25,7,63
2011-07-25,25,6,65
2011-07-26,26,6,65
2011-07-27,27,6,65
2011-07-28,26,7,65
2011-07-29,26,7,65
2011-07-30,25,7,66
2011-07-31,25,7,66
2011-08-01,24,7,68
2011-08-02,23,7,69
2011-08-03,23,6,70
2011-08-04,22,5,72
2011-08-05,22,5,72
2011-08-06,22,5,72
